SR,Calling_Number,Called_Number,Date,Time,Duration_sec,Call_Type,Caller_IMEI,Caller_IMSI,Caller_Operator,Tower_ID,Tower_Location,Tower_Latitude,Tower_Longitude
36,6043321819,7863794026,2024-01-07,12:39:54,802,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
37,6043321819,8959310341,2024-01-07,13:42:15,0,SMS,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
38,9001338908,8423511615,2024-01-07,14:22:36,678,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
39,9001338908,7863794026,2024-01-07,15:24:38,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
40,7863794026,8192832764,2024-01-07,21:51:39,1016,Data,627048281489325,404208809570154,Airtel,KA-UDU-01,Udupi MIT Road,13.3409,74.7421
41,9001338908,8959310341,2024-01-07,23:56:53,0,SMS,532871012269166,404707848018451,Vi,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
42,9001338908,7164752553,2024-01-08,11:16:38,171,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
43,9001338908,8192832764,2024-01-08,13:36:37,612,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
44,8423511615,8959310341,2024-01-08,13:59:33,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
45,8423511615,7164752553,2024-01-08,18:59:45,2770,Data,039117182278248,404706383465787,Jio,UP-PYG-01,Prayagraj Civil Lines,25.4358,81.8463
46,9001338908,8959310341,2024-01-08,21:54:48,0,SMS,532871012269166,404707848018451,Vi,TN-SLM-01,Salem Fairlands,11.6643,78.146
47,9001338908,8940781618,2024-01-09,02:47:43,85,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
48,8423511615,6043321819,2024-01-09,03:36:42,1815,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
49,6043321819,8423511615,2024-01-09,07:29:33,742,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
50,9001338908,8192832764,2024-01-09,12:34:02,3523,Data,532871012269166,404707848018451,Vi,KA-BLR-03,Bengaluru Hebbal,13.045,77.595
51,8423511615,8959310341,2024-01-09,18:25:15,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
52,8423511615,8959310341,2024-01-09,23:27:24,0,SMS,039117182278248,404706383465787,Jio,MH-MUM-03,Mumbai Thane,19.2183,72.9781
53,6043321819,9001338908,2024-01-10,01:14:30,0,SMS,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
54,7863794026,8940781618,2024-01-10,01:29:52,1536,Data,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
55,8423511615,9001338908,2024-01-10,10:28:25,555,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
56,6043321819,7164752553,2024-01-10,13:23:20,2943,Data,835030564139537,404507242388496,BSNL,RJ-JDH-01,Jodhpur Shastri Nagar,26.2389,73.0243
57,8423511615,8959310341,2024-01-10,15:30:46,1564,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
58,6043321819,8192832764,2024-01-10,16:20:42,0,SMS,835030564139537,404507242388496,BSNL,UP-LKO-01,Lucknow Hazratganj,26.8467,80.9462
59,9001338908,6043321819,2024-01-10,17:28:41,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
60,9001338908,8423511615,2024-01-10,23:33:06,267,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
61,9001338908,8192832764,2024-01-11,09:15:49,316,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
62,8423511615,7863794026,2024-01-11,09:21:58,541,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
63,8423511615,8959310341,2024-01-11,12:27:52,1017,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
64,7863794026,6043321819,2024-01-11,12:35:46,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
65,7863794026,7164752553,2024-01-11,18:23:30,699,Voice,627048281489325,404208809570154,Airtel,RJ-KOT-01,Kota Industrial Area,25.1802,75.8389
66,9001338908,7164752553,2024-01-12,03:26:53,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
67,8423511615,9001338908,2024-01-12,06:27:40,640,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
68,7863794026,7164752553,2024-01-12,07:52:28,51,Voice,627048281489325,404208809570154,Airtel,DL-NDL-02,Delhi Rohini,28.7041,77.1025
69,7863794026,8423511615,2024-01-12,17:08:54,848,Data,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
70,8423511615,6043321819,2024-01-13,06:10:30,0,SMS,039117182278248,404706383465787,Jio,DL-NDL-04,Delhi Laxmi Nagar,28.6317,77.2767
71,7863794026,7164752553,2024-01-13,08:58:10,320,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
72,8423511615,7863794026,2024-01-13,13:01:28,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
73,7863794026,7164752553,2024-01-13,16:42:25,532,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
74,7863794026,7164752553,2024-01-13,16:58:06,2703,Data,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
75,9001338908,6043321819,2024-01-13,19:07:25,371,Voice,532871012269166,404707848018451,Vi,MH-NSK-01,Nashik CBS,19.9975,73.7898
76,6043321819,7164752553,2024-01-14,00:05:27,749,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
77,8423511615,7863794026,2024-01-14,11:31:14,313,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
78,8423511615,9001338908,2024-01-14,18:35:30,2653,Data,039117182278248,404706383465787,Jio,UP-AGR-01,Agra Sanjay Place,27.1767,78.0081
79,7863794026,6043321819,2024-01-14,20:42:00,0,SMS,627048281489325,404208809570154,Airtel,RJ-JDH-01,Jodhpur Shastri Nagar,26.2389,73.0243
80,6043321819,7863794026,2024-01-15,11:39:20,0,SMS,835030564139537,404507242388496,BSNL,UP-AGR-01,Agra Sanjay Place,27.1767,78.0081
81,8423511615,7164752553,2024-01-15,11:42:08,390,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
82,9001338908,8940781618,2024-01-15,23:21:39,0,SMS,532871012269166,404707848018451,Vi,KA-BLR-01,Bengaluru Koramangala,12.9352,77.6245
83,8423511615,7863794026,2024-01-16,01:02:54,307,Voice,039117182278248,404706383465787,Jio,UP-MRT-01,Meerut Shastri Nagar,28.9845,77.7064
84,6043321819,7863794026,2024-01-16,06:47:29,0,SMS,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
85,8423511615,8940781618,2024-01-16,10:57:28,502,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
86,8423511615,7863794026,2024-01-16,18:03:48,856,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
87,9001338908,8959310341,2024-01-16,18:38:20,1939,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
88,9001338908,7863794026,2024-01-16,23:23:57,879,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
89,9001338908,8940781618,2024-01-16,23:40:43,335,Voice,532871012269166,404707848018451,Vi,MH-NGP-01,Nagpur Civil Lines,21.1458,79.0882
90,7863794026,7164752553,2024-01-17,02:45:54,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
91,7863794026,8940781618,2024-01-17,05:03:06,134,Voice,627048281489325,404208809570154,Airtel,TN-CBE-01,Coimbatore RS Puram,11.0064,76.962
92,7863794026,8959310341,2024-01-17,06:58:37,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
93,8423511615,7863794026,2024-01-17,12:05:26,85,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
94,9001338908,7863794026,2024-01-17,14:55:34,2617,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
95,7863794026,6043321819,2024-01-17,22:01:23,58,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
96,8423511615,8959310341,2024-01-18,05:55:29,0,SMS,039117182278248,404706383465787,Jio,DL-NDL-01,New Delhi Connaught Place,28.6315,77.2167
97,7863794026,9001338908,2024-01-18,07:52:25,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
98,8423511615,8940781618,2024-01-18,14:54:01,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
99,7863794026,9001338908,2024-01-18,18:31:28,715,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
100,9001338908,8192832764,2024-01-18,20:51:44,0,SMS,532871012269166,404707848018451,Vi,UP-KNP-02,Kanpur Kidwai Nagar,26.4674,80.3496
101,6043321819,8423511615,2024-01-20,08:32:38,641,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
102,7863794026,8192832764,2024-01-20,10:26:57,143,Voice,627048281489325,404208809570154,Airtel,RJ-JDH-01,Jodhpur Shastri Nagar,26.2389,73.0243
103,8423511615,8940781618,2024-01-20,17:48:32,667,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
104,7863794026,8940781618,2024-01-20,19:57:30,2993,Data,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
105,9001338908,8192832764,2024-01-21,06:44:48,315,Voice,532871012269166,404707848018451,Vi,UP-LKO-01,Lucknow Hazratganj,26.8467,80.9462
106,6043321819,8959310341,2024-01-21,09:30:49,1082,Data,835030564139537,404507242388496,BSNL,DL-GGN-01,Gurugram Sector 29,28.4595,77.0266
107,6043321819,8423511615,2024-01-21,12:38:14,2381,Data,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
108,6043321819,8940781618,2024-01-21,22:30:43,566,Voice,835030564139537,404507242388496,BSNL,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
109,9001338908,8423511615,2024-01-22,00:12:45,2043,Data,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
110,6043321819,7164752553,2024-01-22,03:34:49,0,SMS,835030564139537,404507242388496,BSNL,RJ-KOT-01,Kota Industrial Area,25.1802,75.8389
111,6043321819,7164752553,2024-01-22,05:56:12,828,Voice,835030564139537,404507242388496,BSNL,RJ-ALW-01,Alwar Model Town,27.5534,76.6346
112,9001338908,8192832764,2024-01-22,07:17:22,451,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
113,7863794026,6043321819,2024-01-22,09:50:42,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-02,Kanpur Kidwai Nagar,26.4674,80.3496
114,6043321819,8192832764,2024-01-22,14:18:29,841,Voice,835030564139537,404507242388496,BSNL,DL-GGN-01,Gurugram Sector 29,28.4595,77.0266
115,7863794026,8423511615,2024-01-22,15:26:58,680,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
116,6043321819,8959310341,2024-01-22,18:28:31,341,Data,835030564139537,404507242388496,BSNL,KA-BLR-02,Bengaluru Whitefield,12.9698,77.7499
117,8423511615,9001338908,2024-01-22,19:35:25,477,Voice,039117182278248,404706383465787,Jio,KA-BLR-02,Bengaluru Whitefield,12.9698,77.7499
118,9001338908,7164752553,2024-01-23,16:14:23,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
119,6043321819,9001338908,2024-01-23,19:03:15,2863,Data,835030564139537,404507242388496,BSNL,MH-NGP-01,Nagpur Civil Lines,21.1458,79.0882
120,8423511615,8959310341,2024-01-23,21:24:09,0,SMS,039117182278248,404706383465787,Jio,DL-NDA-01,Noida Sector 18,28.57,77.3219
121,7863794026,8959310341,2024-01-24,00:01:35,151,Voice,627048281489325,404208809570154,Airtel,RJ-ALW-01,Alwar Model Town,27.5534,76.6346
122,8423511615,9001338908,2024-01-24,00:43:45,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
123,6043321819,8959310341,2024-01-24,09:51:50,2751,Data,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
124,6043321819,8959310341,2024-01-24,15:33:23,810,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
125,8423511615,8192832764,2024-01-24,15:56:03,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
126,9001338908,6043321819,2024-01-24,17:40:44,449,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
127,7863794026,8192832764,2024-01-24,18:36:24,1723,Data,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
128,9001338908,7863794026,2024-01-25,05:47:24,733,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
129,6043321819,8959310341,2024-01-25,10:30:10,743,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
130,9001338908,6043321819,2024-01-25,12:19:02,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
131,7863794026,8423511615,2024-01-25,12:47:27,691,Data,627048281489325,404208809570154,Airtel,KA-UDU-01,Udupi MIT Road,13.3409,74.7421
132,8423511615,8959310341,2024-01-25,15:02:52,126,Data,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
133,6043321819,9001338908,2024-01-26,02:54:14,527,Voice,835030564139537,404507242388496,BSNL,PB-LDH-02,Ludhiana Sarabha Nagar,30.8801,75.8245
134,6043321819,9001338908,2024-01-27,00:13:35,0,SMS,835030564139537,404507242388496,BSNL,DL-NDA-01,Noida Sector 18,28.57,77.3219
135,6043321819,7863794026,2024-01-27,10:37:02,624,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
136,8423511615,7164752553,2024-01-27,12:31:29,778,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
137,6043321819,8959310341,2024-01-27,12:38:27,823,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
138,6043321819,7863794026,2024-01-27,16:50:01,0,SMS,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
139,9001338908,6043321819,2024-01-27,22:05:49,138,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
140,6043321819,8959310341,2024-01-28,15:04:36,0,SMS,835030564139537,404507242388496,BSNL,PB-LDH-01,Ludhiana Model Town,30.901,75.8573
141,6043321819,9001338908,2024-01-28,16:14:41,786,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
142,8423511615,8192832764,2024-01-28,17:50:31,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
143,7863794026,8940781618,2024-01-28,22:35:52,592,Voice,627048281489325,404208809570154,Airtel,DL-FBD-01,Faridabad Sector 15,28.4089,77.3178
144,9001338908,6043321819,2024-01-29,04:14:34,0,SMS,532871012269166,404707848018451,Vi,RJ-JPR-01,Jaipur Malviya Nagar,26.8505,75.8
145,8423511615,8192832764,2024-01-29,06:41:00,242,Voice,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
146,6043321819,8423511615,2024-01-29,08:37:07,286,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
147,6043321819,9001338908,2024-01-29,13:37:06,419,Voice,835030564139537,404507242388496,BSNL,DL-NDL-02,Delhi Rohini,28.7041,77.1025
148,7863794026,7164752553,2024-01-29,15:50:52,205,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
149,9001338908,7164752553,2024-01-29,16:39:46,283,Data,532871012269166,404707848018451,Vi,KA-UDU-01,Udupi MIT Road,13.3409,74.7421
150,9001338908,7164752553,2024-01-30,04:13:04,67,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
151,6043321819,8423511615,2024-01-30,06:21:28,790,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
152,6043321819,8192832764,2024-01-30,18:54:38,420,Voice,835030564139537,404507242388496,BSNL,TN-VEL-01,Vellore Katpadi,12.9165,79.1325
153,6043321819,8959310341,2024-01-30,23:42:36,224,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
154,9001338908,6043321819,2024-01-30,23:51:56,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
155,6043321819,9001338908,2024-01-31,00:41:58,0,SMS,835030564139537,404507242388496,BSNL,KA-BLG-01,Belagavi Tilakwadi,15.8497,74.4977
156,9001338908,8423511615,2024-01-31,01:06:44,0,SMS,532871012269166,404707848018451,Vi,MH-MUM-03,Mumbai Thane,19.2183,72.9781
157,9001338908,7863794026,2024-01-31,04:06:01,0,SMS,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
158,6043321819,7863794026,2024-01-31,04:46:23,597,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
159,6043321819,9001338908,2024-01-31,10:09:42,311,Voice,835030564139537,404507242388496,BSNL,PB-JLN-01,Jalandhar Civil Lines,31.326,75.5762
160,9001338908,6043321819,2024-01-31,15:23:29,532,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
161,6043321819,8959310341,2024-01-31,17:26:05,401,Voice,835030564139537,404507242388496,BSNL,PB-AMR-01,Amritsar Hall Bazar,31.634,74.8723
162,7863794026,7164752553,2024-01-31,17:52:26,3003,Data,627048281489325,404208809570154,Airtel,RJ-KOT-01,Kota Industrial Area,25.1802,75.8389
163,9001338908,7164752553,2024-01-31,17:54:49,114,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
164,9001338908,6043321819,2024-01-31,22:35:22,864,Voice,532871012269166,404707848018451,Vi,DL-NDL-04,Delhi Laxmi Nagar,28.6317,77.2767
165,7863794026,8959310341,2024-02-01,00:58:38,0,SMS,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
166,9001338908,8940781618,2024-02-01,03:12:14,0,SMS,532871012269166,404707848018451,Vi,MH-MUM-03,Mumbai Thane,19.2183,72.9781
167,9001338908,8940781618,2024-02-01,04:22:29,666,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
168,9001338908,8940781618,2024-02-01,04:28:36,86,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
169,8423511615,8940781618,2024-02-01,07:01:26,855,Voice,039117182278248,404706383465787,Jio,MH-KLH-01,Kolhapur Rajaram Road,16.705,74.2433
170,9001338908,8192832764,2024-02-01,10:02:47,11,Voice,532871012269166,404707848018451,Vi,PB-PTL-01,Patiala Leela Bhawan,30.3398,76.3869
171,8423511615,6043321819,2024-02-01,12:45:52,825,Voice,039117182278248,404706383465787,Jio,RJ-UDR-01,Udaipur Hiran Magri,24.5854,73.7125
172,7863794026,8940781618,2024-02-01,20:34:49,12,Voice,627048281489325,404208809570154,Airtel,UP-KNP-01,Kanpur Swaroop Nagar,26.4499,80.3319
173,6043321819,7863794026,2024-02-02,00:29:53,0,SMS,835030564139537,404507242388496,BSNL,DL-NDL-01,New Delhi Connaught Place,28.6315,77.2167
174,8423511615,7164752553,2024-02-02,03:00:34,0,SMS,039117182278248,404706383465787,Jio,PB-BHT-01,Bathinda Thermal Plant Road,30.211,74.9455
